home_type,posted,home_URL,home_status,home_price,home_address,home_zipcode,num_beds,num_baths,home_area
CONDO,32,https://www.zillow.com/homedetails/220-E-82nd-St-APT-2RE-New-York-NY-10028/79506186_zpid/,FOR_SALE,"$425,000","220 E 82nd St APT 2RE, New York, NY 10028",10028,1,1,0
SINGLE_FAMILY,14,https://www.zillow.com/homedetails/274-Gordon-St-Staten-Island-NY-10304/143699215_zpid/,FOR_SALE,"$688,888","274 Gordon St, Staten Island, NY 10304",10304,4,3,1600
MULTI_FAMILY,21,https://www.zillow.com/homedetails/1174-Bay-Ridge-Pkwy-Brooklyn-NY-11228/30705857_zpid/,FOR_SALE,"$1,899,000","1174 Bay Ridge Pkwy, Brooklyn, NY 11228",11228,6,3,3120
SINGLE_FAMILY,8,https://www.zillow.com/homedetails/113-Clawson-St-Staten-Island-NY-10306/32330344_zpid/,FOR_SALE,"$675,000","113 Clawson St, Staten Island, NY 10306",10306,2,1,1014
APARTMENT,121,https://www.zillow.com/homedetails/1100-Clove-Rd-APT-3-D-Staten-Island-NY-10301/217911298_zpid/,FOR_SALE,"$175,000","1100 Clove Rd APT 3-D, Staten Island, NY 10301",10301,2,1,770
MULTI_FAMILY,76,https://www.zillow.com/homedetails/362-Senator-St-Brooklyn-NY-11220/30691684_zpid/,FOR_SALE,"$1,750,000","362 Senator St, Brooklyn, NY 11220",11220,5,3,2880
CONDO,48,https://www.zillow.com/homedetails/208-E-84th-St-APT-1A-New-York-NY-10028/244756869_zpid/,FOR_SALE,"$499,995","208 E 84th St APT 1A, New York, NY 10028",10028,1,1,0
CONDO,18,https://www.zillow.com/homedetails/2011-Pearson-St-81F-Brooklyn-NY-11234/325791595_zpid/,FOR_SALE,"$230,000","2011 Pearson St #81F, Brooklyn, NY 11234",11234,2,1,750
MULTI_FAMILY,221,https://www.zillow.com/homedetails/2427-Stuart-St-Brooklyn-NY-11229/30793113_zpid/,FOR_SALE,"$617,000","2427 Stuart Street, Brooklyn, NY 11229",11229,4,2,
CONDO,13,https://www.zillow.com/homedetails/418-E-59th-St-PENTHOUSE-New-York-NY-10022/442558488_zpid/,FOR_SALE,"$2,995,000","418 E 59th St #PENTHOUSE, New York, NY 10022",10022,3,3,2100
CONDO,11,https://www.zillow.com/homedetails/44-Garfield-Pl-3-Brooklyn-NY-11215/442610306_zpid/,FOR_SALE,"$1,995,000","44 Garfield Pl #3, Brooklyn, NY 11215",11215,3,2,1187
MULTI_FAMILY,462,https://www.zillow.com/homedetails/2918-Brookhaven-Ave-Far-Rockaway-NY-11691/79743648_zpid/,FOR_SALE,"$320,000","2918 Brookhaven Ave, Far Rockaway, NY 11691",11691,6,2,0
CONDO,70,https://www.zillow.com/homedetails/88-08-151st-Ave-1E-Queens-NY-11414/336857471_zpid/,FOR_SALE,"$269,000","88-08 151st Ave #1E, Queens, NY 11414",11414,2,1,0
CONDO,27,https://www.zillow.com/homedetails/834-Riverside-Dr-APT-6C-New-York-NY-10032/244902003_zpid/,FOR_SALE,"$349,000","834 Riverside Dr APT 6C, New York, NY 10032",10032,2,1,750
SINGLE_FAMILY,72,https://www.zillow.com/homedetails/470-Broome-St-4S-New-York-NY-10013/97537948_zpid/,FOR_SALE,"$5,495,000","470 Broome St #4S, New York, NY 10013",10013,2,3,2000
SINGLE_FAMILY,18,https://www.zillow.com/homedetails/146-10th-St-Staten-Island-NY-10306/32337167_zpid/,FOR_SALE,"$738,000","146 10th Street, Staten Island, NY 10306",10306,3,1,1440
CONDO,70,https://www.zillow.com/homedetails/138-E-36th-St-APT-9C-New-York-NY-10016/244751027_zpid/,FOR_SALE,"$975,000","138 E 36th St APT 9C, New York, NY 10016",10016,3,3,0
CONDO,83,https://www.zillow.com/homedetails/1910-Pelham-Pkwy-S-APT-5C-Bronx-NY-10461/215952187_zpid/,FOR_SALE,"$279,500","1910 Pelham Parkway UNIT 5C, New York 10461",10461,2,2,1100
CONDO,48,https://www.zillow.com/homedetails/6748-Springfield-Blvd-FLOOR-1-Oakland-Gardens-NY-11364/441674998_zpid/,FOR_SALE,"$285,000","6748 Springfield Boulevard 1 FL, Bayside, NY 11364",11364,2,1,
SINGLE_FAMILY,4,https://www.zillow.com/homedetails/2242-Gleason-Ave-Bronx-NY-10462/29797237_zpid/,FOR_SALE,"$750,000","2242 Gleason Avenue, Bronx, NY 10462",10462,3,2,1820
CONDO,10,https://www.zillow.com/homedetails/447-W-45th-St-New-York-NY-10036/442668524_zpid/,FOR_SALE,"$685,000","447 W 45th St, New York, NY 10036",10036,1,1,670
MULTI_FAMILY,29,https://www.zillow.com/homedetails/3036-Coddington-Ave-Bronx-NY-10461/29842079_zpid/,FOR_SALE,"$879,000","3036 Coddington Avenue, Bronx, NY 10461",10461,5,3,
CONDO,28,https://www.zillow.com/homedetails/159-W-24th-St-APT-5B-New-York-NY-10011/117451102_zpid/,FOR_SALE,"$1,399,000","159 W 24th St APT 5B, New York, NY 10011",10011,2,2,1093
SINGLE_FAMILY,21,https://www.zillow.com/homedetails/1828-Narragansett-Ave-Bronx-NY-10461/29816361_zpid/,FOR_SALE,"$759,000","1828 Narragansett Avenue, Bronx, NY 10461",10461,3,2,1833
SINGLE_FAMILY,73,https://www.zillow.com/homedetails/134-Montreal-Ave-Staten-Island-NY-10306/32343622_zpid/,FOR_SALE,"$664,900","134 Montreal Ave, Staten Island, NY 10306",10306,3,2,1384
CONDO,48,https://www.zillow.com/homedetails/220-Central-Park-S-APT-55B-New-York-NY-10019/321906076_zpid/,FOR_SALE,"$37,500,000","220 Central Park S APT 55B, New York, NY 10019",10019,3,4,3211
SINGLE_FAMILY,6,https://www.zillow.com/homedetails/2158-Beverly-Rd-Brooklyn-NY-11226/442730258_zpid/,FOR_SALE,"$799,950","2158 Beverly Rd, Brooklyn, NY 11226",11226,5,2,1900
CONDO,31,https://www.zillow.com/homedetails/140-01-45th-Ave-UNIT-6G-Flushing-NY-11355/442154856_zpid/,FOR_SALE,"$409,998","140-01 45th Ave UNIT 6G, Flushing, NY 11355",11355,3,2,1150
SINGLE_FAMILY,39,https://www.zillow.com/homedetails/104-Monahan-Ave-Staten-Island-NY-10314/339889552_zpid/,FOR_SALE,"$749,026","104 Monahan Ave, Staten Island, NY 10314",10314,3,3,1929
CONDO,68,https://www.zillow.com/homedetails/169-Allen-St-APT-3B-New-York-NY-10002/244751155_zpid/,FOR_SALE,"$659,000","169 Allen St APT 3B, New York, NY 10002",10002,2,1,0
CONDO,241,https://www.zillow.com/homedetails/328-E-94th-St-APT-4C-New-York-NY-10128/244818537_zpid/,FOR_SALE,"$425,000","328 E 94th St APT 4C, New York, NY 10128",10128,2,1,0
CONDO,108,https://www.zillow.com/homedetails/154-W-77th-St-APT-4R-New-York-NY-10024/244857960_zpid/,FOR_SALE,"$499,000","154 W 77th St APT 4R, New York, NY 10024",10024,1,1,0
SINGLE_FAMILY,45,https://www.zillow.com/homedetails/73-Whitman-Ave-Staten-Island-NY-10308/32346463_zpid/,FOR_SALE,"$549,999","73 Whitman Ave, Staten Island, NY 10308",10308,2,2,1144
CONDO,66,https://www.zillow.com/homedetails/200-Rector-Pl-APT-35E-New-York-NY-10280/31492052_zpid/,FOR_SALE,"$1,818,181","200 Rector Pl UNIT 35E, New York, NY 10280",10280,2,3,1174
CONDO,189,https://www.zillow.com/homedetails/631-Academy-St-APT-5A-New-York-NY-10034/2059137631_zpid/,FOR_SALE,"$349,000","631 Academy St APT 5A, New York, NY 10034",10034,2,1,850
CONDO,131,https://www.zillow.com/homedetails/1800-Ocean-Pkwy-APT-14E-Brooklyn-NY-11223/324235664_zpid/,FOR_SALE,"$359,000","1800 Ocean Parkway UNIT 14E, Gravesend, NY 11223",11223,2,1,
SINGLE_FAMILY,320,https://www.zillow.com/homedetails/10-E-64th-St-New-York-NY-10065/31533428_zpid/,FOR_SALE,"$19,500,000","10 E 64th St, New York, NY 10065",10065,5,6,8725
SINGLE_FAMILY,31,https://www.zillow.com/homedetails/4428-Bedford-Ave-Brooklyn-NY-11229/30747165_zpid/,FOR_SALE,"$899,000","4428 Bedford Ave, Brooklyn, NY 11229",11229,4,3,1897
TOWNHOUSE,133,https://www.zillow.com/homedetails/57-E-10th-St-Brooklyn-NY-11218/30665825_zpid/,FOR_SALE,"$1,995,000","57 E 10th St, Brooklyn, NY 11218",11218,4,2,3300
